"col_1","col_2","col_3","col_4","col_5","col_6","col_7","col_8","col_9","col_10","col_11","col_12","col_13","col_14","col_15","col_16","col_17","col_18","col_19","col_20","col_21","col_22","col_23","col_24","col_25","col_26","col_27","col_28","col_29","col_30","col_31","col_32","col_33","col_34","col_35","col_36","col_37","col_38","col_39","col_40","col_41","col_42","col_43","col_44","col_45","col_46"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","A33","","DROP 1","","","","DROP 2","","","","SUMMER DROP","","","","A33 X NO ART","","","","DROP 3","","","","DROP 4","","","","DROP 5","","","","","","","","","","","",""
"","","","","","","DROP 1","1039.4099999999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44516.168020833335","A33: OTRO","63","","","","","","","","","44550.201493055552","A33: SUDAPA L (ALVARO NISTAL)","39","","","","","","","","","","","","0","","45240.911203703705","A33: CAMI M y sudapa M (CHORVO)","78","","","","0","","","","","","","","","",""
"TOPUP","Current","44517.233622685184","A33: SUDAPA M, CAMI MARRON M (PUIG)","78","","","","","","","","","44551.387013888889","A33: SUDAPA L (MARIO MIRON)","49","","","","","","","","","","","","0","","45244.929166666669","A33: CAMI L (BARALLOBRE)","33","","","","0","","","","","","","","","",""
"TOPUP","Current","44527.931747685187","A33: OTRO","78","","","","","","","","","44557.35769675926","A33: SUDAPA M (CHIARRI)","39","","","","","","","","","","","","0","","45260","A33: SUDAPA L M (RITXI)","44","","","","0","","","","","","","","","",""
"TOPUP","Current","44536.09746527778","A33: SUDAPA M (FORMARIZ)","49","","","","","","","","","44561.249907407408","A33: SUDAPA M (AMIGO MUÑOZ)","49","","","","","","","","","","","","0","","","","0","","","","0","","","","","","","","","",""
"TOPUP","Current","44537.172812500001","A33: SUDAPA L (STRIPE)","52.7","","","","","","","","","44620.858136574076","A33: VINTED","73","","","","","","","","","","","","0","","","","0","","","","0","","","","","","","","","",""
"TOPUP","Current","44540.680567129632","A33: CAMI MARRON L (MUÑOZ)","29","","","","","","","","","44626.071342592593","A33: 2 CAMI TIRO M Y L, 2 CAMI PIVA M (JAIME Y AMIGO)","100.02","","","","","","","","","","","","0","","","","0","","","","0","","","","","","","","","",""
"TOPUP","Current","44545.051365740743","A33: SUDAPA L (STRIPE)","54.3","","","","","","","","","44658.723981481482","A33: SUDAPA OJOS L (IÑIGO)","40.67","","","","","","","","","","","","-315.55999999999995","","","","0","","","","0","","","","","","","","","",""
"TOPUP","Current","44548.91474537037","A33: CAMI TIRO L (RODRI)","34","","","","","","","","","44677.23741898148","A33: CAMI TIRO M (NICO)","25","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","",""
"TOPUP","Current","44549.114918981482","A33: 1 SUDAPA OJOS L (TITO)","45","","","","","","","","","44716.205729166664","A33: CAMI TIRO M (BARTA)","25","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","",""
"TOPUP","Current","44550.201493055552","A33: SUDAPA L (ALVARO NISTAL)","39","","","","","","","","","44722.859594907408","A33: CAMI TIRO L (QUINTANA)","25","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","",""
"TOPUP","Current","44551.387013888889","A33: SUDAPA L (MARIO MIRON)","49","","","","","","","","","44783.285405092596","A33: CAMI MARRON L , CAMI TIRO M (CASAPE, SANZ = DEUDA JACO)","56","","","","","","","","","","","","","","","","-170.55000000000007","","","","-876.27","","","","","","","","","",""
"TOPUP","Current","44557.35769675926","A33: SUDAPA M (CHIARRI)","39","","","","","","","","","","","297.9199999999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44561.249907407408","A33: SUDAPA M (AMIGO MUÑOZ)","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44620.858136574076","A33: VINTED","73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARD_PAYMENT","Current","44620.859791666669","COMPRA RUE PORTER","-433.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44626.071342592593","A33: 1 SUDAPA CARA D1 (AMIGO JAIME)","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44626.071342592593","A33: 2 CAMI TIRO M Y L, 2 CAMI PIVA M (JAIME Y AMIGO)","100.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARD_PAYMENT","Current","44630.827685185184","COMPRA MOOJI MOOJI","-423.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRANSFER","Current","44658.210960648146","TASAS MOOJI MOOJI (PAGADO POR MAMA)","-109.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44658.723981481482","A33: SUDAPA OJOS L (IÑIGO)","40.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44677.23741898148","A33: CAMI TIRO M (NICO)","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EXCHANGE","Current","44688.992303240739","DEVOLUCION RUE PORTER","455.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARD_PAYMENT","Current","44690.781192129631","COMPRA WORDANS PRUEBA","-9.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARD_PAYMENT","Current","44699.839594907404","COMPRA WORDANS","-108.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRANSFER","Current","44706.835740740738","SERIGRAFIA","-93.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44716.205729166664","A33: CAMI TIRO M (BARTA)","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44718.755046296297","A33: 3 SAND XL (JUANMA, MUÑOZ Y PETER) 1 RUSA XL (PETER)","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44718.990011574075","A33: 1 RUSA XL (PETER)","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44722.859594907408","A33: CAMI TIRO L (QUINTANA)","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44726.266215277778","A33: 1 SAND L y 1 RUSA L (Nico)","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44728.931979166664","A33: 1 RUSA XL (ASTARLOA)","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44729.223356481481","A33: 1 MANOS XL (RUBINI)","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44730.407962962963","A33: 3 RUSAS L Y 1 XL (PUIG,JUANTO,BRABUS,DOMING), 1 MANOS L (JUANTO)","95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44730.869872685187","A33: 1 MANOS L (CHORBO)","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44734.159513888888","A33: 1 RUSA L (DIRECTOR)","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44734.71429398148","A33: 1 RUSA L (NACHO), RUSA XL MANOS XL (JOSE)","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44736.822800925926","A33: 1 RUSA L Y XL (CASADO Y BARALLOBRE), MANOS L Y XL (IAGO Y BARALLOBRE)","76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44743.054189814815","System.Xml.XmlElement","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44783.0859837963","System.Xml.XmlElement","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44783.285405092596","System.Xml.XmlElement","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44783.285405092596","A33: CAMI MARRON L , CAMI TIRO M (CASAPE, SANZ = DEUDA JACO)","56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRANSFER","Current","44819.082650462966","COMPRA RUE PORTER","-405.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRANSFER","Current","44842.781504629631","TASAS RUE PORTER","-173.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRANSFER","Current","44848.096886574072","SERIGRAFIA","-29.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARD_PAYMENT","Current","44848.889548611114","System.Xml.XmlElement","-387","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44863.065266203703","A33: MOOJI L (CARMEN)","69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44868.08452546296","A33: FUTBOL XL (PETER)","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44868.08452546296","A33: 1 BALACLAVA L Y SKULL L (PETER)","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44868.092314814814","A33: 1 BALACLAVA L (JP)","35.340000000000003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44868.735474537039","A33: 2 BALACLAVA M (PUPI, LUIS CAN) SKULL XL (SESE)","105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44870.278263888889","A33: 2 BALACLAVA L (Muñoz)","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44871.174166666664","A33: 1 BALACLAVA M  (Dominguez), 2 SKULL ML (N.Per y N.Ben)","105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44871.174571759257","A33: 1 BALACLAVA L (C.Chorvo), 2 SKULL ML (C.chorv y cuervo)","105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRANSFER","Current","44871.284305555557","SERIGRAFIA","-212.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARD_PAYMENT","Current","44872.176192129627","COMPRA PRUEBA STUDIOS TC","-89.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44875.726956018516","A33: 1 BALACLAVA M (Nistal), 2 SKULL ML (Juanto, Barallobre)","105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44876.765983796293","A33: 1 BALACLAVA M (GABRIEL)","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARD_PAYMENT","Current","44887.168854166666","DEVOLUCION A STUDIOS TC","-17.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44887.211608796293","A33: 1 BALACLAVA M (nathan)","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARD_REFUND","Current","44898.375","REEMBOLSO DE STUDIOS TC","89.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44899.091944444444","A33: 2 BALACLAVA M y L (Zorrila y Dani cris arte)","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44938.718159722222","A33: REVOLUTION L (IÑIGO)","69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44938.720011574071","A33: 1 BALACLAVA L (JAIME), SKULL M (JAIME)","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44982.198136574072","A33: FUTBOL XL (ALEX DELCLAUX)","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44994.151921296296","A33: FUTBOL XL (IAGO) REVOLUTION L (TITO)","96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44994.156921296293","A33: REVOLUTION M (BRUNO)","63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","44994.156921296293","A33: 1 BALACLAVA M (BRUNO)","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARD_PAYMENT","Current","45034.161134259259","COMPRA WEEKDAY","-108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","45034.738379629627","A33: CREW N L (CASAPE), CAMI XL (JAIME RAMIEZ)","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARD_PAYMENT","Current","45035.636689814812","COMPRA VELOUR GARMETS","-634.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARD_PAYMENT","Current","45035.702476851853","COMPRA STUDIOS TC","-357.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","45041.089918981481","A33: 1 BALACLAVA L (BARALLOBRE)","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","45043.264085648145","A33: 2 REVOLUTION M Y L (JORDI Y PETER)","123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","45043.268657407411","A33: CREW N M, CAMI L (PETER)","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","45043.26966435185","A33: CREW M L (LAURA), CREW N M (IAGO)","88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRANSFER","Current","45043.658553240741","SERIGRAFIA","-217.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","45063.180439814816","A33: 1 FUTBOL L (SAMUEL)","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","45066.870439814818","A33: 2 CREW N M (nico y juli), CAMI ML (Nico y weister)","154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","45067.205231481479","A33: 4 CAMI 3L 1M (FELIX, TITO, CASADO Y FORMAS)","136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","45067.211840277778","A33: 2 CAMI L(PUPI y rubini) y SUDAPA M L (RUBAS)","112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","45079.026655092595","A33: 2 CAMI L(MONICA Y CAMA) y SUDAPA M M (ANNA)","112.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","45091.817326388889","A33: 2 CAMI XL(MUÑOZ) y SUDAPA N M (CHIARRI)","78.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","45098.101701388892","A33: CAMI L (QUINTANA)","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","45101.156226851854","A33: 1 FUTBOL L (VICTOR)","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","45101.156226851854","A33: SUDAPA N M (luisan)","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOPUP","Current","45105.730752314812","A33: CAMI L (JUANMA)","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
