"col_1","col_2","col_3","col_4","col_5","col_6","col_7","col_8","col_9","col_10","col_11","col_12","col_13","col_14","col_15","col_16","col_17","col_18","col_19","col_20","col_21","col_22","col_23","col_24","col_25","col_26","col_27","col_28","col_29","col_30","col_31","col_32","col_33","col_34","col_35"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DROP 1","","","","","","","","","","","","","","","","","BLANKS 1","System.Xml.XmlElement","M","L","XL","UNIDADES","EXTRA","System.Xml.XmlElement","TOTAL","","INGRESOS FINALES","PRECIO","M","L","XL","UNIDADES","TOTAL"
"14","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
